system:index,date,eddi14d,eddi180d,eddi1y,eddi270d,eddi2y,eddi30d,eddi5y,eddi90d,pdsi,spei14d,spei180d,spei1y,spei270d,spei2y,spei30d,spei5y,spei90d,spi14d,spi180d,spi1y,spi270d,spi2y,spi30d,spi5y,spi90d,state,z,.geo
0_00000000000000000026,2021-01,-0.20592201072697572,1.1223185714068984,1.3099721402334852,1.3266819626724071,0.7368484241250521,-0.08887518269377487,0.8696532295108519,0.4407113628745508,-2.213433372095322,-0.10747071031289893,-0.7594022692733128,-0.9058909327524419,-1.061490786896688,0.1615645793497242,0.25443023018576105,0.7062291121951889,-0.1536728930425,-0.15214938293896274,-0.4613061848666677,-0.5519422140255863,-0.750271057511729,0.3924626970137644,0.2404174849005361,0.9411217880424452,-0.0439511378171703,New York,-0.3808570705337107,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,2021-01,0.1835948608891845,0.3238810506633439,0.09440695989172428,0.22415466122403188,-0.5989118443490652,0.46040470269125156,0.05232031435674727,0.7224229403402899,1.627065281933428,0.08707306829004698,-0.448338667672243,0.20755336235564498,0.02216276135219812,1.4960549162845544,-0.039914395641474434,1.3987421630976313,-0.34389598913889907,0.11278021572262616,-0.46497018364035514,0.29527499726733675,0.1421652864046815,1.5349328826091109,0.044480425410040735,1.5883815103657388,-0.15515043935888828,Illinois,-0.2416631390591041,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000036,2021-01,0.19625260904406847,0.8279439605441458,0.652219606135366,0.6944432584623943,-0.530253155858639,0.3983352161771882,-0.2730401241197253,0.7187904599060333,-0.0641099276877371,0.5909518424224033,-0.7308985141070936,-0.6633844916744444,-0.6955363652980447,0.5957366046781041,0.29075513412100884,1.0230675049585727,-0.03849751141510653,0.7011840618871339,-0.6425646614818792,-0.7119243824552424,-0.6930067111236049,0.5537365277326196,0.5069937962378521,1.1864286623016347,0.19460240566232498,Iowa,0.2578772081294315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019,2021-01,0.06949765480444817,0.7884652681911217,0.7900266501003015,1.0112047052414839,0.6660920698461107,0.38257723481019157,0.6588054058162912,0.5599871701795969,-1.1554188329114263,0.31979942560463864,-0.6261222205167577,-0.5323624812391556,-0.8200431826321715,-0.36790829782078893,0.24121254577792395,0.24295643398654487,-0.4633230496718137,0.4429884894207101,-0.4895013198895388,-0.252619960689623,-0.5453408289146133,-0.050287654695268344,0.48720476758599823,0.8749241514127072,-0.32468149183195266,Texas,0.3276865221615822,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,2021-01,0.7337283468579215,1.8128077576293051,1.2937141304662545,1.586049918449459,0.5222199050938935,0.9085205563609934,0.8344070191875818,1.4202933315718418,-2.9327032166982057,-0.45546480483691537,-1.8344095291339197,-1.4832962219185617,-1.8930665120761052,-0.4513066539261207,-0.6566923978566113,-0.3030434091770505,-1.3473347870640435,-0.1269882343881058,-1.4654077105254875,-1.3039444517187313,-1.6337862707779975,-0.284626927044326,-0.43335154795598274,-0.02512013734294336,-1.1145125497288564,California,-1.479898674430545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026,2021-02,-0.903248333421004,0.6380352961122528,1.257200283184646,1.4191682111274635,0.68453863153999,-0.8442719921733207,0.8352121799198013,0.012965482578006272,-2.215214243381198,0.11099458295894502,-0.8107656219248423,-1.0102385759398171,-1.170670452778589,0.026628881804631258,-0.08199582053901851,0.6838505175931195,0.017737237001854676,0.005206586531622015,-0.6179926753740002,-0.6977086861628895,-0.804430349436203,0.24207549780203835,-0.20401889478073898,0.9104140851420311,0.027504340478268812,New York,-0.5664874478060115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2021-02,-1.309992542775752,0.306825538186419,-0.019394154541515284,0.3397829998075674,-0.6071265722932694,-1.1087894089395505,0.02312776990923003,0.04851023208862538,1.556018266157005,0.4723728144716722,-0.45214006308657595,0.17587106307021744,-0.1785801022144221,1.449171633010765,0.7134880576058885,1.4501853159100127,-0.05663956328917567,0.20947911849868067,-0.44551210072141495,0.21564807146872816,-0.10751745593709197,1.4878765635804578,0.5416648074397846,1.6311702324235178,-0.03450143465434527,Illinois,0.8939445664692046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000036,2021-02,-1.2112275518719597,0.6510415990151502,0.6218102994872561,0.7269597059845264,-0.5151011864114614,-0.8916164231590272,-0.2840233210238561,0.12995572232306216,0.20617361167034845,0.6284990219026617,-0.2640683427931163,-0.6032602776527328,-0.5822247226991925,0.5582732848143395,0.856119684043201,1.0278237698120085,0.21259777894911702,0.3087823318809798,-0.08402506974637426,-0.6554347551160079,-0.5061661686844514,0.5192187710192689,0.7212206929199338,1.191337893381669,0.319548455121741,Iowa,0.9945625069328103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000019,2021-02,-0.4235224051938577,0.4825814381081672,0.7996085830418649,0.9225561601698042,0.6728455505989346,-0.1500792940856174,0.6225545382174303,0.3060089120092293,-1.14942981101039,-0.26422343054186975,-0.5587704889750181,-0.6327027310242103,-0.8393777638746457,-0.3508435094983217,-0.3055046727301682,0.28849085772969824,-0.18069790936423066,-0.3562527657412128,-0.5687683203189833,-0.4025527405256822,-0.6635508919109357,-0.030797940200021766,-0.45872647118517595,0.9036265965483661,-0.06690506351075934,Texas,-0.7078765143489141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2021-02,0.3041925002861853,1.7944785341570504,1.2474880863261841,1.635937100979543,0.5975946338299525,0.6030532085769716,0.7909020486121529,1.2096086332190568,-2.9228734899353497,-0.12713609381610153,-1.5986763925394891,-1.2217685529580973,-1.7166766046615316,-0.7349988765052974,0.04844927028138054,-0.27891733701978866,-0.9621183540933432,0.004511509438330316,-1.166607295184947,-0.8946499239902459,-1.310320250593876,-0.6257995363412793,0.19247981611789375,-0.006781192287187524,-0.7161503720018066,California,-0.48666465608498144,"{""type"":""MultiPoint"",""coordinates"":[]}"
