year,soybean_price
2015,9.489166666666668
2016,9.391666666666667
2017,9.390833333333333
2018,9.150833333333333
2019,8.4275
2020,8.984166666666667
2021,13.041666666666666
2022,14.85
2023,14.066666666666668
2024,11.111666666666666
2025,10.149999999999999
